DATE,CORN_PPI
11/1/2017,131.3
12/1/2017,129
1/1/2018,133.4
2/1/2018,136.6
3/1/2018,143.2
4/1/2018,141.3
5/1/2018,144.8
6/1/2018,138.9
7/1/2018,130.8
8/1/2018,145.3
9/1/2018,143.7
10/1/2018,142.5
11/1/2018,145.4
12/1/2018,146.7
1/1/2019,140.6
2/1/2019,140.4
3/1/2019,135.9
4/1/2019,133.4
5/1/2019,134.1
6/1/2019,162.6
7/1/2019,176.8
8/1/2019,158.3
9/1/2019,157.5
10/1/2019,169.3
11/1/2019,160.1
12/1/2019,153.1
1/1/2020,158.1
2/1/2020,149
3/1/2020,150.8
4/1/2020,119.3
5/1/2020,115.8
6/1/2020,121.1
7/1/2020,128.6
8/1/2020,126.9
9/1/2020,152.3
10/1/2020,162.9
11/1/2020,172.1
12/1/2020,171.2
1/1/2021,208.8
2/1/2021,215.9
3/1/2021,217.8
4/1/2021,227
5/1/2021,292
6/1/2021,266.5
7/1/2021,268.913
8/1/2021,274.556
9/1/2021,237.896
10/1/2021,225.495
11/1/2021,231.84
12/1/2021,241.476
1/1/2022,245.654
2/1/2022,249.855
3/1/2022,292.388
4/1/2022,298.653
5/1/2022,300.735
6/1/2022,304.836
7/1/2022,294.797
8/1/2022,301.203
9/1/2022,325.474
10/1/2022,302.774
11/1/2022,287.627
12/1/2022,275.187
1/1/2023,274.714
2/1/2023,274.865
3/1/2023,258.057
4/1/2023,261.191
5/1/2023,246.79
6/1/2023,247.619
7/1/2023,230.237
8/1/2023,223.076
9/1/2023,209.157
10/1/2023,203.756
11/1/2023,193.347
12/1/2023,188.466
1/1/2024,179.995
2/1/2024,164.513
3/1/2024,171.594
4/1/2024,164.023
5/1/2024,175.41
6/1/2024,169.914
7/1/2024,165.455
8/1/2024,164.507
9/1/2024,170.241
10/1/2024,166.116
11/1/2024,175.205
12/1/2024,177.122
1/1/2025,184.974
2/1/2025,181.773
